checksum_match,date,interval,expected_checksum,actual_checksum,file_size,line_count,unique_timestamps,first_timestamp,last_timestamp,http_status,last_modified,etag,server,content_type,content_length,x_cache,x_amz_cf_id
0,2023-04-08,1s,1a5c3ac227d7c68ccdb6b0b61921991a2c0840f0d3a6970a54849b3e422174b6,39470132e13ddb4289d4a00d971fbff13582995cecb2f1b773ffd34e766d7965,2363903,86400,86400,1680912000000,1680998399000,200,Thu, 13 Apr 2023 10:23:53 GMT,58c86b22ec63d83509705705586206b8,AmazonS3,application/zip,2363903,Miss from cloudfront,LXl8GAidTobb_iIpwXIjLXeYlLtfPx_7cxnuM0g-YverZmo6-WRcVw==
0,2023-04-07,1s,01a45b521ec2c4b8f7baf2608dde7475fa295c6c954729659601ef6db6be0082,e8a81174b87b1dcbac31d5b2f674123afca764f32c40919c2403c713c9df1c38,2345149,86400,86400,1680825600000,1680911999000,200,Thu, 13 Apr 2023 10:23:22 GMT,1e567c2772a1b9ba9c6b15d70eeed3ae,AmazonS3,application/zip,2345149,Miss from cloudfront,sPks-_lhGj3etKQNpULkFZc3FNt3bQsmCgZ7ZWosVZTWmpQby24HdQ==
0,2023-04-06,1s,eb405a7d253431c318a7e007d1fccb917027598100cb5cbf63b3106df29cfa29,f60297a74f14eb5ebfcc932069e8cbc7b43ebb95555d562d7926c8f48016b6a8,2558124,86400,86400,1680739200000,1680825599000,200,Thu, 13 Apr 2023 10:23:49 GMT,26af24bba538dffbd414691b115e987f,AmazonS3,application/zip,2558124,Miss from cloudfront,ldFkJiarJA0sen2PiVIL4lPmBCHhAxklCDSj7SosURNGuJxZfSXU1g==
0,2023-04-05,1s,709641b4e0190eab0fc6bcb8a8a9ca1e088ee3ceaf3da7eb26efcb03cfd4c884,5a6041d9c4315831560890fab48d617e6528aa3e07d9526e6926ee74acb56c70,2706006,86400,86400,1680652800000,1680739199000,200,Thu, 13 Apr 2023 10:24:52 GMT,0bdcb2e20165eadd4b3b169d79462e94,AmazonS3,application/zip,2706006,Miss from cloudfront,io9CVsD-kMb7D9C4fO7mXyh2ME0UuQJ2bq-i39ViHdUt2VqOli7ALA==
0,2023-04-04,1s,4031736c806d30866e92f2d471c590456bc862526c467f92df8fec705d74e5a4,639dea709bfe31e428a2aa49cde697d8ead5375b19e7806d966b938fadff858e,2659221,86400,86400,1680566400000,1680652799000,200,Thu, 13 Apr 2023 10:25:56 GMT,e7210dc84e72cc40160007420fd73189,AmazonS3,application/zip,2659221,Miss from cloudfront,y1oKWHc66JykLEmprdNoN6vTiPQqZ1tOk7LTZvfz5uaCU7vHJBcOTg==
0,2023-04-03,1s,58e4fefd6ceddfcc26c261ee8595e88914aeb23bf013f777d6cad39630ebd3e5,eee394f13a7f15390635f7d1ada699f34c7dd2a88d69917b6b548ec2853e9d63,2854453,86400,86400,1680480000000,1680566399000,200,Thu, 13 Apr 2023 10:25:54 GMT,7dc151ddb10049f5720c9f0f96f46a02,AmazonS3,application/zip,2854453,Miss from cloudfront,8-bPQuTXn_JK_7h3eWIt85zWIlfGZZxOUtgfZuYmmk03FvtNzRVW5Q==
0,2023-04-02,1s,0695d4e338d0b99dbb7554b973b130d048d060ecf5f6b198514c790c5d0c9c70,b5c79848c5c1e66f1d80c8d36231317417c5e8941990648d6c446f732497d7a8,2494636,86400,86400,1680393600000,1680479999000,200,Thu, 13 Apr 2023 10:24:58 GMT,d1f985e2553d8289f119dcf7a60d1304,AmazonS3,application/zip,2494636,Miss from cloudfront,quqiXGpoEUXJpWWamuhv2hfAP4r2YXovBLBF-Sh0c17oCAmdxHSVOw==
0,2023-04-01,1s,39c87ad95acd7f77b6d0bd22cc19efff2ee3b99b26344cc88b1877606d75e615,01fd19aefc2032614cd62ad9f9db8f99a5c84547a34f1cddd3c1afa086c776b7,2484890,86400,86400,1680307200000,1680393599000,200,Thu, 13 Apr 2023 10:23:47 GMT,00b5ed779398ed993de9f73e74419e1e,AmazonS3,application/zip,2484890,Miss from cloudfront,IYfaOQ9VWCgyiYmo-L6VGBSdv9zzBas7G3dWDUpGcYeQkJMRQPD-3w==
0,2023-03-31,1s,fb624cc014d304c4414a31e529fbcfc0ba90db89baa26fe88e36dd9feee1cff3,949ba68e06b2f91c2524dc3525fb5cf305bb616fec4db8a74be3106d3170c54b,2789856,86400,86400,1680220800000,1680307199000,200,Thu, 13 Apr 2023 10:24:00 GMT,1ddd79a2a26524f49a6f84706c2d268e,AmazonS3,application/zip,2789856,Miss from cloudfront,jV2n7SHr3W5RCj4_CY1GRVUExjWG8eftSl9Av6mZ-8s3P2msSqm5gw==
0,2023-03-30,1s,b65a283628249bb0604b95c165499b1588e0497dff6109cc5f8bf1c9790ad87c,83c495a9d744a407ed0e455a33516de15dba6cf4e25edafd82ed7f0a5b24a5d9,2868716,86400,86400,1680134400000,1680220799000,200,Thu, 13 Apr 2023 10:23:17 GMT,2b6a0a626f37ca0f792f58aea9887195,AmazonS3,application/zip,2868716,Miss from cloudfront,Et2Xxlez4gqSZ4308lQWBq1hGZpw4LDWrlXuRrv37AGnNrwHubB_-A==
